"GeneID","padj","pvalue","lfcSE","stat","log2FoldChange","baseMean","Symbol","Description","Significance"
10288,2.57e-11,2.59e-15,0.1924,7.9094253,1.52139124,276.63,"LILRB2","leukocyte immunoglobulin like receptor B2","Upregulated"
353514,2.57e-11,1.65e-15,0.2389,7.9649506,1.90270356,147.82,"LILRA5","leukocyte immunoglobulin like receptor A5","Upregulated"
81030,1.4e-10,2.11e-14,0.1719,7.6438631,1.31366008,90.26,"ZBP1","Z-DNA binding protein 1","Upregulated"
57823,2.65e-08,5.33e-12,0.147,6.8963842,1.01360785,415.67,"SLAMF7","SLAM family member 7","Upregulated"
11006,5.8e-08,1.46e-11,0.161,6.7518684,1.08706744,173.26,"LILRB4","leukocyte immunoglobulin like receptor B4","Upregulated"
200315,2.91e-07,8.78e-11,0.2034,6.4865565,1.31933877,247.32,"APOBEC3A","apolipoprotein B mRNA editing enzyme catalytic subunit 3A","Upregulated"
6614,1.53e-06,6.17e-10,0.1789,6.185909,1.10660454,96.42,"SIGLEC1","sialic acid binding Ig like lectin 1","Upregulated"
3433,2.67e-06,1.21e-09,0.1746,6.0791433,1.06142853,1612.59,"IFIT2","interferon induced protein with tetratricopeptide repeats 2","Upregulated"
3627,8.16e-06,4.92e-09,0.2568,5.849716,1.50241079,1267.05,"CXCL10","C-X-C motif chemokine ligand 10","Upregulated"
6373,8.16e-06,4.66e-09,0.2863,5.8587997,1.67726463,325.84,"CXCL11","C-X-C motif chemokine ligand 11","Upregulated"
9332,9.36e-06,7.53e-09,0.1836,5.7786997,1.06095096,345.81,"CD163","CD163 molecule","Upregulated"
2676,1.09e-05,9.97e-09,0.1948,-5.731199,-1.11640558,32.77,"GFRA3","GDNF family receptor alpha 3","Downregulated"
114897,6.38e-05,9.63e-08,0.2351,-5.3336626,-1.25400151,54.35,"C1QTNF1","C1q and TNF related 1","Downregulated"
284215,6.9e-05,1.15e-07,0.1902,5.3020623,1.00849818,169.2,"DLGAP1-AS5","DLGAP1 antisense RNA 5","Upregulated"
3458,7.76e-05,1.33e-07,0.2044,5.2750316,1.07834679,38.88,"IFNG","interferon gamma","Upregulated"
10563,0.00029,8.16e-07,0.2486,4.9314439,1.22604658,90.58,"CXCL13","C-X-C motif chemokine ligand 13","Upregulated"
7130,0.000474,1.86e-06,0.2877,4.7682564,1.37187027,60.16,"TNFAIP6","TNF alpha induced protein 6","Upregulated"
838,0.000503,2.08e-06,0.2311,4.7454775,1.09674284,25.82,"CASP5","caspase 5","Upregulated"
7177,0.000518,2.22e-06,0.2432,-4.7326703,-1.15093296,2297.27,"TPSAB1","tryptase alpha/beta 1","Downregulated"
6364,0.00052,2.25e-06,0.2273,4.729511,1.07491069,168.3,"CCL20","C-C motif chemokine ligand 20","Upregulated"
4914,0.000807,4.13e-06,0.2361,-4.6047173,-1.08699184,31.81,"NTRK1","neurotrophic receptor tyrosine kinase 1","Downregulated"
5542,0.00105,5.91e-06,0.4112,-4.5294482,-1.86272539,286.9,"PRB1","proline rich protein BstNI subfamily 1","Downregulated"
64499,0.00108,6.45e-06,0.2384,-4.5112135,-1.07563071,1955.24,"TPSB2","tryptase beta 2","Downregulated"
10631,0.0016,1.11e-05,0.2447,-4.3938949,-1.07521184,6992.77,"POSTN","periostin","Downregulated"
653247,0.00175,1.27e-05,0.3984,-4.3651133,-1.73896302,374.54,"PRB2","proline rich protein BstNI subfamily 2","Downregulated"
1359,0.00291,2.41e-05,0.2549,-4.2228666,-1.07623889,1250.96,"CPA3","carboxypeptidase A3","Downregulated"
116,0.00621,7.21e-05,0.2634,-3.9691892,-1.0453335,35.66,"ADCYAP1","adenylate cyclase activating polypeptide 1","Downregulated"
23430,0.0141,0.000242,0.2736,-3.6708743,-1.00448393,89.58,"TPSD1","tryptase delta 1","Downregulated"
1511,0.0141,0.000246,0.2897,-3.666835,-1.06211217,33.73,"CTSG","cathepsin G","Downregulated"
1179,0.0144,0.000259,0.455,-3.6527791,-1.66209002,1688.48,"CLCA1","chloride channel accessory 1","Downregulated"
1907,0.021,0.000499,0.2912,-3.4814289,-1.0138703,173.27,"EDN2","endothelin 2","Downregulated"
79698,0.021,0.000496,0.2901,-3.4826636,-1.01044134,60.75,"ZMAT4","zinc finger matrin-type 4","Downregulated"
55600,0.041,0.00154,0.3401,-3.1677998,-1.07739338,1395.89,"ITLN1","intelectin 1","Downregulated"
