#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADCYAP1	NTRK1	9606.ENSP00000462647	9606.ENSP00000431418	0	0	0	0	0.067	0	0.500	0.310	0.650
APOBEC3A	LILRB2	9606.ENSP00000384359	9606.ENSP00000375629	0	0	0	0	0.422	0	0	0	0.422
CCL20	IFNG	9606.ENSP00000351671	9606.ENSP00000229135	0	0	0	0	0.136	0	0	0.801	0.820
CCL20	TNFAIP6	9606.ENSP00000351671	9606.ENSP00000243347	0	0	0	0	0.118	0.049	0	0.343	0.400
CCL20	CXCL13	9606.ENSP00000351671	9606.ENSP00000286758	0	0	0	0	0.081	0	0.500	0.800	0.900
CCL20	CXCL10	9606.ENSP00000351671	9606.ENSP00000305651	0	0	0	0	0.159	0	0.500	0.860	0.936
CCL20	CXCL11	9606.ENSP00000351671	9606.ENSP00000306884	0	0	0	0	0.100	0.994	0.500	0.720	0.999
CCL20	CD163	9606.ENSP00000351671	9606.ENSP00000352071	0	0	0	0	0.042	0.091	0	0.433	0.463
CD163	IFNG	9606.ENSP00000352071	9606.ENSP00000229135	0	0	0	0	0.090	0	0	0.737	0.751
CD163	CXCL13	9606.ENSP00000352071	9606.ENSP00000286758	0	0	0	0	0.134	0	0	0.445	0.499
CD163	CXCL10	9606.ENSP00000352071	9606.ENSP00000305651	0	0	0	0	0.151	0	0	0.651	0.691
CD163	CXCL11	9606.ENSP00000352071	9606.ENSP00000306884	0	0	0	0	0.147	0	0	0.631	0.672
CD163	SIGLEC1	9606.ENSP00000352071	9606.ENSP00000341141	0	0	0	0	0.307	0.126	0	0.797	0.866
CD163	POSTN	9606.ENSP00000352071	9606.ENSP00000369071	0	0	0	0	0.087	0.044	0	0.397	0.428
CD163	LILRB4	9606.ENSP00000352071	9606.ENSP00000375616	0	0	0	0	0.237	0.126	0	0.269	0.470
CD163	LILRB2	9606.ENSP00000352071	9606.ENSP00000375629	0	0	0	0	0.443	0	0	0.269	0.575
CLCA1	TPSAB1	9606.ENSP00000234701	9606.ENSP00000343577	0	0	0	0	0.086	0.094	0	0.340	0.406
CLCA1	CPA3	9606.ENSP00000234701	9606.ENSP00000296046	0	0	0	0	0.085	0	0	0.418	0.445
CLCA1	ITLN1	9606.ENSP00000234701	9606.ENSP00000323587	0	0	0	0	0.338	0.045	0	0.374	0.569
CLCA1	POSTN	9606.ENSP00000234701	9606.ENSP00000369071	0	0	0	0	0.042	0.046	0	0.897	0.898
CPA3	TPSD1	9606.ENSP00000296046	9606.ENSP00000211076	0	0	0	0	0.151	0.126	0	0.458	0.563
CPA3	CTSG	9606.ENSP00000296046	9606.ENSP00000216336	0	0	0	0	0.327	0.126	0	0.706	0.812
CPA3	POSTN	9606.ENSP00000296046	9606.ENSP00000369071	0	0	0	0	0.081	0	0	0.391	0.416
CPA3	TPSB2	9606.ENSP00000296046	9606.ENSP00000482743	0	0	0	0	0.638	0.126	0	0.638	0.875
CPA3	TPSAB1	9606.ENSP00000296046	9606.ENSP00000343577	0	0	0	0	0.783	0.126	0	0.734	0.945
CTSG	IFNG	9606.ENSP00000216336	9606.ENSP00000229135	0	0	0	0	0.083	0	0	0.454	0.478
CTSG	TPSAB1	9606.ENSP00000216336	9606.ENSP00000343577	0	0	0.152	0.775	0.250	0	0.400	0.162	0.637
CXCL10	IFNG	9606.ENSP00000305651	9606.ENSP00000229135	0	0	0	0	0.321	0	0	0.942	0.959
CXCL10	TNFAIP6	9606.ENSP00000305651	9606.ENSP00000243347	0	0	0	0	0.197	0	0	0.348	0.454
CXCL10	CXCL13	9606.ENSP00000305651	9606.ENSP00000286758	0	0	0	0	0.201	0	0.900	0.939	0.994
CXCL10	ZBP1	9606.ENSP00000305651	9606.ENSP00000360215	0	0	0	0	0.340	0	0	0.217	0.462
CXCL10	SIGLEC1	9606.ENSP00000305651	9606.ENSP00000341141	0	0	0	0	0.204	0	0	0.447	0.541
CXCL10	IFIT2	9606.ENSP00000305651	9606.ENSP00000490935	0	0	0	0	0.451	0	0	0.741	0.852
CXCL10	CXCL11	9606.ENSP00000305651	9606.ENSP00000306884	0	0	0	0.811	0.824	0.994	0.900	0.467	0.999
CXCL11	IFNG	9606.ENSP00000306884	9606.ENSP00000229135	0	0	0	0	0.294	0	0	0.775	0.835
CXCL11	TNFAIP6	9606.ENSP00000306884	9606.ENSP00000243347	0	0	0	0	0.142	0.622	0	0.247	0.734
CXCL11	CXCL13	9606.ENSP00000306884	9606.ENSP00000286758	0	0	0	0	0.262	0	0.900	0.839	0.987
CXCL11	IFIT2	9606.ENSP00000306884	9606.ENSP00000490935	0	0	0	0	0.302	0	0	0.472	0.616
CXCL13	IFNG	9606.ENSP00000286758	9606.ENSP00000229135	0	0	0	0	0.152	0	0	0.672	0.710
CXCL13	SIGLEC1	9606.ENSP00000286758	9606.ENSP00000341141	0	0	0	0	0.126	0	0	0.363	0.420
GFRA3	NTRK1	9606.ENSP00000274721	9606.ENSP00000431418	0	0	0	0	0.048	0	0	0.726	0.728
IFIT2	IFNG	9606.ENSP00000490935	9606.ENSP00000229135	0	0	0	0	0.060	0	0	0.506	0.516
IFNG	LILRB4	9606.ENSP00000229135	9606.ENSP00000375616	0	0	0	0	0.060	0	0	0.436	0.447
IFNG	LILRB2	9606.ENSP00000229135	9606.ENSP00000375629	0	0	0	0	0.114	0	0	0.433	0.476
IFNG	TNFAIP6	9606.ENSP00000229135	9606.ENSP00000243347	0	0	0	0	0.056	0	0	0.496	0.504
IFNG	SLAMF7	9606.ENSP00000229135	9606.ENSP00000357022	0	0	0	0	0.234	0	0	0.432	0.546
IFNG	SIGLEC1	9606.ENSP00000229135	9606.ENSP00000341141	0	0	0	0	0.062	0	0	0.555	0.565
LILRB2	SIGLEC1	9606.ENSP00000375629	9606.ENSP00000341141	0	0	0	0	0.342	0.126	0	0.074	0.422
LILRB2	SLAMF7	9606.ENSP00000375629	9606.ENSP00000357022	0	0	0.262	0	0.184	0	0	0.145	0.440
LILRB2	LILRB4	9606.ENSP00000375629	9606.ENSP00000375616	0	0	0.069	0.918	0.320	0.475	0	0.330	0.747
PRB1	PRB2	9606.ENSP00000420826	9606.ENSP00000374013	0	0	0	0.977	0.109	0	0.900	0.061	0.909
TPSAB1	TPSD1	9606.ENSP00000343577	9606.ENSP00000211076	0	0	0.050	0.981	0.778	0	0.900	0.059	0.977
TPSAB1	TPSB2	9606.ENSP00000343577	9606.ENSP00000482743	0	0	0.047	0.986	0.999	0.200	0.900	0.048	0.999
TPSB2	TPSD1	9606.ENSP00000482743	9606.ENSP00000211076	0	0	0.050	0.981	0.336	0	0.900	0.048	0.931
